"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174156,"Central Mich.","Southern Ill.",1,3,0,1
6174157,"Xavier","Indiana St.",3,1,1,0
6174158,"Ole Miss","St. John's (NY)",1,3,0,1
6174159,"NJIT","Delaware St.",0,3,0,1
6174160,"Bowling Green","ETSU",3,0,1,0
6174161,"San Francisco","Seton Hall",0,3,0,1
6174162,"UNI","Villanova",2,3,0,1
6174163,"UT Martin","Marist",3,1,1,0
6174164,"Stony Brook","Gardner-Webb",0,3,0,1
6174165,"Tulane","Jackson St.",3,0,1,0
6174166,"Kansas","Pepperdine",3,0,1,0
6174167,"Louisiana","Northwestern St.",3,0,1,0
6174168,"Mercer","Mississippi Val.",3,0,1,0
6174169,"Creighton","Loyola Chicago",3,0,1,0
6174170,"Presbyterian","Stetson",1,3,0,1
6174171,"South Carolina St.","Chattanooga",0,3,0,1
6174172,"Lipscomb","SMU",0,3,0,1
6174173,"Santa Clara","California Baptist",3,1,1,0
6174174,"Long Beach St.","Texas",3,1,1,0
6174175,"Duquesne","Saint Peter's",3,0,1,0
6174176,"Austin Peay","Florida A&M",3,1,1,0
6174177,"Southern Ind.","Radford",3,0,1,0
6174178,"Drake","Marquette",2,3,0,1
6174179,"Grambling","UTEP",0,3,0,1
6174180,"Little Rock","North Ala.",0,3,0,1
6174181,"Alcorn","Miami (OH)",0,3,0,1
6174182,"Utah Tech","Saint Mary's (CA)",1,3,0,1
6174183,"Texas Southern","Tex. A&M-Commerce",0,3,0,1
6174184,"Navy","UCF",1,3,0,1
6174185,"Morgan St.","Furman",0,3,0,1
6174186,"FDU","Holy Cross",1,3,0,1
6174187,"Le Moyne","West Virginia",0,3,0,1
6174188,"Oral Roberts","A&M-Corpus Christi",1,3,0,1
6174189,"Stonehill","USC Upstate",0,3,0,1
6174190,"UIW","Prairie View",3,0,1,0
6174191,"James Madison","High Point",3,2,1,0
6174192,"Delaware","Loyola Maryland",3,1,1,0
6174193,"Eastern Wash.","Southern Utah",2,3,0,1
6174194,"Akron","ULM",2,3,0,1
6174195,"Charleston So.","Coastal Carolina",3,2,1,0
6174196,"Lindenwood","St. Thomas (MN)",3,1,1,0
6174197,"Denver","North Florida",1,3,0,1
6174198,"Murray St.","Tennessee St.",3,2,1,0
6174199,"Lamar University","FIU",0,3,0,1
6174200,"Purdue Fort Wayne","Oklahoma",1,3,0,1
6174201,"IUPUI","Eastern Mich.",3,2,1,0
6174202,"Central Conn. St.","Fairfield",1,3,0,1
6174203,"Canisius","Saint Francis (PA)",3,1,1,0
6174204,"Arkansas St.","Louisiana Tech",3,0,1,0
6174205,"Howard","Georgetown",1,3,0,1
6174206,"UNCW","Fordham",0,3,0,1
6174207,"Utah Valley","Utah",3,1,1,0
6174208,"Ga. Southern","East Carolina",3,0,1,0
6174209,"Western Ill.","Cleveland St.",0,3,0,1
6174210,"Hofstra","Siena",3,0,1,0
6174211,"South Alabama","SFA",3,1,1,0
6174212,"Louisville","Troy",3,0,1,0
6174213,"American","George Washington",3,0,1,0
6174214,"Liberty","Bucknell",3,0,1,0
6174215,"Rice","Southern Miss.",3,1,1,0
6174216,"South Fla.","Georgia Tech",0,3,0,1
6174217,"Western Mich.","Milwaukee",3,1,1,0
6174218,"Auburn","Coppin St.",3,1,1,0
6174219,"South Carolina","Towson",0,3,0,1
6174220,"Missouri","Illinois St.",3,1,1,0
6174221,"UNC Asheville","UMES",2,3,0,1
6174222,"Cincinnati","Alabama St.",3,0,1,0
6174223,"Georgia St.","New Orleans",3,1,1,0
6174224,"Northern Colo.","Stanford",0,3,0,1
6174225,"NIU","Chicago St.",2,3,0,1
6174226,"North Texas","Campbell",3,2,1,0
6174227,"North Dakota St.","UC Riverside",3,1,1,0
6174228,"Bryant","UT Arlington",1,3,0,1
6174229,"LSU","UCLA",3,2,1,0
6174230,"App State","Bellarmine",3,0,1,0
6174231,"Bradley","SIUE",3,0,1,0
6174232,"Iowa St.","South Dakota",3,0,1,0
6174233,"Air Force","Rhode Island",3,0,1,0
6174234,"Georgia","UConn",3,0,1,0
6174235,"Southeastern La.","Washington",1,3,0,1
6174236,"Tennessee","Texas St.",3,0,1,0
6174237,"Old Dominion","VCU",3,1,1,0
6174238,"Virginia","Rider",3,0,1,0
6174239,"Virginia Tech","Quinnipiac",3,0,1,0
6174240,"Clemson","Middle Tenn.",3,1,1,0
6174241,"Dayton","Western Ky.",3,0,1,0
6174242,"UIC","Oakland",3,0,1,0
6174243,"Mississippi St.","Eastern Ky.",3,0,1,0
6174244,"UC Santa Barbara","New Mexico St.",3,0,1,0
6174245,"Texas Tech","Wichita St.",3,1,1,0
6174246,"Eastern Ill.","Valparaiso",3,2,1,0
6174247,"San Jose St.","Jacksonville",3,0,1,0
6174248,"Sacramento St.","Nevada",3,2,1,0
6174249,"Memphis","Samford",3,2,1,0
6174250,"Wake Forest","Toledo",3,0,1,0
6174251,"Montana","UTRGV",0,3,0,1
6174252,"Col. of Charleston","Davidson",1,3,0,1
6174253,"Boise St.","Idaho St.",3,0,1,0
6174254,"Bethune-Cookman","The Citadel",0,3,0,1
6174255,"Omaha","Texas A&M",1,3,0,1
6174256,"Arizona","North Carolina",2,3,0,1
6174257,"Portland St.","Kansas St.",1,3,0,1
6174258,"Youngstown St.","Belmont",1,3,0,1
6174259,"Sam Houston","Oral Roberts",3,1,1,0
6174260,"UAB","Buffalo",2,3,0,1
6174261,"Charlotte","Elon",3,1,1,0
6174262,"Ball St.","Gonzaga",3,0,1,0
6174263,"Butler","Fresno St.",3,1,1,0
6174264,"CSU Bakersfield","Providence",3,0,1,0
6174265,"Colorado St.","Kentucky",3,1,1,0
6174266,"UTSA","Missouri St.",3,0,1,0
6174268,"Southeast Mo. St.","Central Mich.",3,1,1,0
6174269,"Fla. Atlantic","Kansas City",1,3,0,1
6174270,"UAlbany","Syracuse",3,0,1,0
6174271,"UC Irvine","New Mexico",2,3,0,1
6174272,"Alabama","Saint Louis",3,0,1,0
6174273,"San Jose St.","CSUN",3,2,1,0
6174274,"Colorado","UNLV",1,3,0,1
6174275,"Binghamton","Merrimack",3,0,1,0
6174276,"Oregon St.","Kennesaw St.",1,3,0,1
6174277,"Winthrop","South Dakota St.",1,3,0,1
6174278,"LIU","Lehigh",2,3,0,1
6174279,"Tarleton St.","Northern Ariz.",1,3,0,1
6174280,"Montana St.","North Dakota",3,1,1,0
6174281,"Army West Point","California",0,3,0,1
6174282,"Morehead St.","Queens (NC)",3,0,1,0
6174283,"Weber St.","Manhattan",3,0,1,0
6174284,"San Diego","Oregon",0,3,0,1
6174285,"Houston","Southern California",3,1,1,0
6174287,"Gonzaga","Purdue Fort Wayne",3,0,1,0
6174288,"Milwaukee","UNI",0,3,0,1
6174289,"UT Martin","Texas St.",0,3,0,1
