"gameid","team1","team2","set","team1pts","team2pts","team1setwon","team2setwon","team1sets","team2sets","team1win","team2win"
6174358,"UMES","Alabama A&M",4,25,16,1,0,3,1,1,0
6174358,"UMES","Alabama A&M",1,25,17,1,0,3,1,1,0
6174358,"UMES","Alabama A&M",2,25,14,1,0,3,1,1,0
6174358,"UMES","Alabama A&M",3,22,25,0,1,3,1,1,0
6174359,"Nicholls","Oral Roberts",1,18,25,0,1,0,3,0,1
6174359,"Nicholls","Oral Roberts",3,13,25,0,1,0,3,0,1
6174359,"Nicholls","Oral Roberts",2,10,25,0,1,0,3,0,1
6174360,"Howard","George Washington",1,25,21,1,0,3,2,1,0
6174360,"Howard","George Washington",3,25,16,1,0,3,2,1,0
6174360,"Howard","George Washington",5,15,10,1,0,3,2,1,0
6174360,"Howard","George Washington",2,17,25,0,1,3,2,1,0
6174360,"Howard","George Washington",4,21,25,0,1,3,2,1,0
6174361,"Eastern Ill.","Akron",1,27,25,1,0,3,1,1,0
6174361,"Eastern Ill.","Akron",3,22,25,0,1,3,1,1,0
6174361,"Eastern Ill.","Akron",2,25,8,1,0,3,1,1,0
6174361,"Eastern Ill.","Akron",4,25,12,1,0,3,1,1,0
6174362,"Idaho","North Dakota St.",2,25,22,1,0,1,3,0,1
6174362,"Idaho","North Dakota St.",1,15,25,0,1,1,3,0,1
6174362,"Idaho","North Dakota St.",4,15,25,0,1,1,3,0,1
6174362,"Idaho","North Dakota St.",3,18,25,0,1,1,3,0,1
6174363,"Youngstown St.","Saint Francis (PA)",2,27,25,1,0,1,3,0,1
6174363,"Youngstown St.","Saint Francis (PA)",1,21,25,0,1,1,3,0,1
6174363,"Youngstown St.","Saint Francis (PA)",3,24,26,0,1,1,3,0,1
6174363,"Youngstown St.","Saint Francis (PA)",4,24,26,0,1,1,3,0,1
6174364,"South Carolina","Towson",1,25,22,1,0,3,1,1,0
6174364,"South Carolina","Towson",3,25,20,1,0,3,1,1,0
6174364,"South Carolina","Towson",2,22,25,0,1,3,1,1,0
6174364,"South Carolina","Towson",4,25,22,1,0,3,1,1,0
6174365,"UTSA","Tex. A&M-Commerce",1,25,19,1,0,3,1,1,0
6174365,"UTSA","Tex. A&M-Commerce",4,25,11,1,0,3,1,1,0
6174365,"UTSA","Tex. A&M-Commerce",3,18,25,0,1,3,1,1,0
6174365,"UTSA","Tex. A&M-Commerce",2,25,23,1,0,3,1,1,0
6174366,"George Mason","American",1,18,25,0,1,2,3,0,1
6174366,"George Mason","American",5,15,17,0,1,2,3,0,1
6174366,"George Mason","American",3,23,25,0,1,2,3,0,1
6174366,"George Mason","American",2,25,21,1,0,2,3,0,1
6174366,"George Mason","American",4,25,21,1,0,2,3,0,1
6174367,"Georgia St.","Chattanooga",1,25,23,1,0,2,3,0,1
6174367,"Georgia St.","Chattanooga",5,8,15,0,1,2,3,0,1
6174367,"Georgia St.","Chattanooga",4,21,25,0,1,2,3,0,1
6174367,"Georgia St.","Chattanooga",3,16,25,0,1,2,3,0,1
6174367,"Georgia St.","Chattanooga",2,25,15,1,0,2,3,0,1
6174368,"Morehead St.","USC Upstate",3,25,19,1,0,3,0,1,0
6174368,"Morehead St.","USC Upstate",2,25,17,1,0,3,0,1,0
6174368,"Morehead St.","USC Upstate",1,25,23,1,0,3,0,1,0
6174369,"Alabama","Mercer",2,25,16,1,0,3,0,1,0
6174369,"Alabama","Mercer",3,25,21,1,0,3,0,1,0
6174369,"Alabama","Mercer",1,25,18,1,0,3,0,1,0
6174370,"South Dakota","DePaul",1,25,23,1,0,3,0,1,0
6174370,"South Dakota","DePaul",2,25,19,1,0,3,0,1,0
6174370,"South Dakota","DePaul",3,25,19,1,0,3,0,1,0
6174371,"Coppin St.","Jacksonville St.",1,25,18,1,0,3,0,1,0
6174371,"Coppin St.","Jacksonville St.",2,25,20,1,0,3,0,1,0
6174371,"Coppin St.","Jacksonville St.",3,25,16,1,0,3,0,1,0
6174372,"North Texas","UNLV",2,29,27,1,0,3,0,1,0
6174372,"North Texas","UNLV",3,25,22,1,0,3,0,1,0
6174372,"North Texas","UNLV",1,25,20,1,0,3,0,1,0
6174373,"Davidson","West Virginia",2,25,19,1,0,3,0,1,0
6174373,"Davidson","West Virginia",1,25,21,1,0,3,0,1,0
6174373,"Davidson","West Virginia",3,25,17,1,0,3,0,1,0
6174374,"Indiana St.","Alabama St.",3,25,13,1,0,3,1,1,0
6174374,"Indiana St.","Alabama St.",4,25,19,1,0,3,1,1,0
6174374,"Indiana St.","Alabama St.",2,20,25,0,1,3,1,1,0
6174374,"Indiana St.","Alabama St.",1,25,19,1,0,3,1,1,0
6174375,"Western Ky.","Drake",1,25,17,1,0,3,0,1,0
6174375,"Western Ky.","Drake",3,25,22,1,0,3,0,1,0
6174375,"Western Ky.","Drake",2,25,21,1,0,3,0,1,0
6174376,"NC State","Utah",1,24,26,0,1,0,3,0,1
6174376,"NC State","Utah",3,18,25,0,1,0,3,0,1
6174376,"NC State","Utah",2,22,25,0,1,0,3,0,1
6174377,"California Baptist","CSUN",1,25,19,1,0,3,1,1,0
6174377,"California Baptist","CSUN",3,25,27,0,1,3,1,1,0
6174377,"California Baptist","CSUN",4,25,15,1,0,3,1,1,0
6174377,"California Baptist","CSUN",2,33,31,1,0,3,1,1,0
6174378,"Loyola Chicago","Duke",1,25,23,1,0,3,0,1,0
6174378,"Loyola Chicago","Duke",2,25,22,1,0,3,0,1,0
6174378,"Loyola Chicago","Duke",3,25,18,1,0,3,0,1,0
6174379,"Army West Point","Central Conn. St.",2,25,14,1,0,3,0,1,0
6174379,"Army West Point","Central Conn. St.",1,25,22,1,0,3,0,1,0
6174379,"Army West Point","Central Conn. St.",3,25,14,1,0,3,0,1,0
6174380,"Western Caro.","UConn",1,21,25,0,1,2,3,0,1
6174380,"Western Caro.","UConn",3,23,25,0,1,2,3,0,1
6174380,"Western Caro.","UConn",2,25,16,1,0,2,3,0,1
6174380,"Western Caro.","UConn",4,25,19,1,0,2,3,0,1
6174380,"Western Caro.","UConn",5,13,15,0,1,2,3,0,1
6174382,"Utah Tech","Manhattan",2,25,19,1,0,3,0,1,0
6174382,"Utah Tech","Manhattan",3,25,16,1,0,3,0,1,0
6174382,"Utah Tech","Manhattan",1,25,16,1,0,3,0,1,0
6174383,"Virginia Tech","Furman",1,25,22,1,0,3,0,1,0
6174383,"Virginia Tech","Furman",2,25,14,1,0,3,0,1,0
6174383,"Virginia Tech","Furman",3,25,18,1,0,3,0,1,0
6174384,"Western Ill.","Murray St.",1,25,17,1,0,1,3,0,1
6174384,"Western Ill.","Murray St.",3,20,25,0,1,1,3,0,1
6174384,"Western Ill.","Murray St.",2,16,25,0,1,1,3,0,1
6174384,"Western Ill.","Murray St.",4,19,25,0,1,1,3,0,1
6174385,"South Alabama","Jackson St.",2,25,10,1,0,3,1,1,0
6174385,"South Alabama","Jackson St.",1,26,28,0,1,3,1,1,0
6174385,"South Alabama","Jackson St.",4,25,9,1,0,3,1,1,0
6174385,"South Alabama","Jackson St.",3,25,19,1,0,3,1,1,0
6174386,"Liberty","Stony Brook",2,25,17,1,0,3,0,1,0
6174386,"Liberty","Stony Brook",1,25,21,1,0,3,0,1,0
6174386,"Liberty","Stony Brook",3,25,23,1,0,3,0,1,0
6174387,"UAB","Austin Peay",5,10,15,0,1,2,3,0,1
6174387,"UAB","Austin Peay",2,21,25,0,1,2,3,0,1
6174387,"UAB","Austin Peay",4,25,18,1,0,2,3,0,1
6174387,"UAB","Austin Peay",3,24,26,0,1,2,3,0,1
6174387,"UAB","Austin Peay",1,25,20,1,0,2,3,0,1
6174388,"Charlotte","Coastal Carolina",1,31,29,1,0,3,2,1,0
6174388,"Charlotte","Coastal Carolina",5,16,14,1,0,3,2,1,0
6174388,"Charlotte","Coastal Carolina",2,21,25,0,1,3,2,1,0
6174388,"Charlotte","Coastal Carolina",4,25,21,1,0,3,2,1,0
6174388,"Charlotte","Coastal Carolina",3,16,25,0,1,3,2,1,0
6174389,"UIC","Lindenwood",2,25,21,1,0,3,0,1,0
6174389,"UIC","Lindenwood",1,25,15,1,0,3,0,1,0
6174389,"UIC","Lindenwood",3,27,25,1,0,3,0,1,0
6174390,"UAlbany","Navy",2,10,25,0,1,0,3,0,1
6174390,"UAlbany","Navy",3,21,25,0,1,0,3,0,1
6174390,"UAlbany","Navy",1,15,25,0,1,0,3,0,1
6174391,"Southeast Mo. St.","Southern Ill.",3,25,19,1,0,1,3,0,1
6174391,"Southeast Mo. St.","Southern Ill.",2,17,25,0,1,1,3,0,1
6174391,"Southeast Mo. St.","Southern Ill.",1,18,25,0,1,1,3,0,1
6174391,"Southeast Mo. St.","Southern Ill.",4,23,25,0,1,1,3,0,1
6174392,"Troy","Wright St.",3,22,25,0,1,0,3,0,1
