"rank","teams","pts"
322,"Columbia",0.431
323,"UNC Greensboro",0.43
324,"Idaho",0.421
325,"Niagara",0.421
326,"Lamar University",0.419
327,"Southern U.",0.415
328,"Stonehill",0.411
329,"Morgan St.",0.41
330,"New Orleans",0.41
331,"Siena",0.41
332,"Alabama A&M",0.406
333,"Merrimack",0.403
334,"Central Conn. St.",0.398
335,"Bethune-Cookman",0.392
336,"Manhattan",0.381
337,"Texas Southern",0.378
338,"Bowie St.",0.37
339,"Saint Peter's",0.364
340,"Le Moyne",0.357
341,"South Carolina St.",0.357
342,"Ark.-Pine Bluff",0.351
343,"Hampton",0.333
344,"Alcorn",0.332
345,"Ark.-Monticello",0.312
346,"Mississippi Val.",0.306
347,"LeMoyne-Owen",0.253
348,"Lane",0.253
